Location_ID,Distance,Priority
L1,0.03,High
L2,0.18,High
L3,0.01,Medium
L4,0.07,High
L5,0.06,High
L6,0.04,High
L7,0.16,High
L8,0.18,High
L9,0.18,High
L10,0.1,Medium
L11,0.06,High
L12,0.13,High
L13,0.03,Medium
L14,0.18,High
L15,0.13,High
L16,0.06,Medium
L17,0.16,Medium
L18,0.1,High
L19,0.04,High
L20,0.11,Medium
L21,0.18,High
L22,0.01,High
L23,0.18,Medium
L24,0.06,Medium
L25,0.16,High
L26,0.04,High
L27,0.13,Medium
L28,0.13,Medium
L29,0.16,High
L30,0.04,High
L31,0.07,Medium
L32,0.07,Medium
L33,0.06,High
L34,0.16,Low
L35,0.18,High
L36,0.1,High
L37,0.06,High
L38,0.01,High
L39,0.03,High
L40,0.03,High
L41,0.1,High
L42,0.1,Medium
L43,0.13,High
L44,0.16,High
L45,0.03,High
L46,0.08,High
L47,0.08,High
L48,0.06,High
L49,0.01,High
L50,0.06,High
L51,0.16,High
L52,0.04,High
L53,0.11,High
L54,0.08,High
L55,0.13,High
L56,0.13,High
L57,0.11,Medium
L58,0.01,High
L59,0.08,High
L60,0.11,High
L61,0.04,High
L62,0.1,Medium
L63,0.16,High
L64,0.06,High
L65,0.03,High
L66,0.07,High
L67,0.03,High
L68,0.06,High
L69,0.13,High
L70,0.06,High
L71,0.06,High
L72,0.11,High
L73,0.03,High
L74,0.08,High
L75,0.07,High
L76,0.13,Medium
L77,0.13,High
L78,0.06,High
L79,0.16,High
L80,0.16,High
L81,0.16,Medium
L82,0.16,High
L83,0.03,High
L84,0.08,High
L85,0.07,High
L86,0.06,High
L87,0.11,High
L88,0.01,High
L89,0.16,Medium
L90,0.01,High
L91,54.4,High
L92,0.03,High
L93,0.13,High
L94,0.16,High
L95,0.07,High
L96,0.13,High
L97,0.07,High
L98,0.06,Medium
L99,0.16,High
L100,0.04,High
L101,0.18,High
L102,0.01,High
L103,0.03,Medium
L104,0.13,High
L105,0.16,High
L106,0.18,Medium
L107,0.03,High
L108,0.18,Medium
L109,0.16,High
L110,0.03,High
L111,0.11,High
L112,0.16,Low
L113,0.07,High
L114,0.08,High
L115,0.01,High
L116,0.11,High
L117,0.13,High
L118,0.04,High
L119,0.16,Medium
L120,0.06,High
L121,0.06,High
L122,0.07,High
L123,0.18,High
L124,0.16,High
L125,0.11,High
L126,0.06,High
L127,0.01,High
L128,0.08,High
L129,0.03,High
L130,0.03,High
L131,0.13,High
L132,0.07,High
L133,0.06,High
L134,0.01,Medium
L135,0.13,High
L136,0.08,Medium
L137,0.1,High
L138,0.16,Medium
L139,0.08,Medium
L140,0.11,High
L141,0.06,High
L142,0.04,High
L143,0.06,High
L144,0.1,Low
L145,0.06,High
L146,0.08,Medium
L147,0.16,High
L148,0.03,High
L149,0.01,High
L150,0.06,High
L151,0.11,High
L152,0.18,High
L153,0.08,Medium
L154,0.16,High
L155,0.13,Medium
L156,0.11,High
L157,0.1,Medium
L158,0.07,High
L159,0.07,High
L160,0.1,Medium
L161,0.13,High
L162,0.13,High
L163,0.1,High
L164,0.11,Medium
L165,0.01,High
L166,0.04,High
L167,0.01,High
L168,0.08,High
L169,0.11,High
L170,0.1,High
L171,0.13,High
L172,0.07,High
L173,0.08,High
L174,0.06,High
L175,0.08,High
L176,0.08,High
L177,0.1,High
L178,0.1,High
L179,0.11,Low
L180,0.04,High
L181,0.03,High
L182,0.04,High
L183,0.13,Medium
L184,0.1,High
L185,0.06,Medium
L186,0.13,Medium
L187,0.08,High
L188,0.01,High
L189,0.11,High
L190,0.06,High
L191,0.13,High
L192,0.08,High
L193,0.08,High
L194,0.11,High
L195,0.16,High
L196,0.08,High
L197,0.03,High
L198,0.04,High
L199,0.03,Medium
L200,0.11,Medium
L201,0.03,High
L202,0.11,Low
L203,0.1,High
L204,0.06,High
L205,0.01,High
L206,0.08,High
L207,0.06,High
L208,0.1,Medium
L209,0.06,High
L210,0.18,Medium
L211,0.08,High
L212,0.11,High
L213,0.04,High
L214,0.2,High
L215,0.01,High
L216,0.06,High
L217,0.06,High
L218,0.18,High
L219,0.13,High
L220,0.18,High
L221,0.2,Medium
L222,0.2,High
L223,0.16,High
L224,0.04,High
L225,0.07,High
L226,0.13,Medium
L227,0.11,High
L228,0.03,High
L229,0.16,High
L230,0.01,High
L231,0.11,High
L232,0.1,High
L233,0.11,High
L234,0.18,High
L235,0.11,High
L236,0.06,High
L237,0.08,High
L238,0.07,Medium
L239,0.11,High
L240,0.06,High
L241,0.01,High
L242,0.13,High
L243,0.1,High
L244,0.03,High
L245,0.04,High
L246,0.08,High
L247,0.1,Medium
L248,0.08,High
L249,0.06,High
L250,0.13,High
L251,0.13,Medium
L252,0.13,Medium
L253,0.04,High
L254,0.18,High
L255,0.03,High
L256,0.06,High
L257,0.08,High
L258,0.1,High
L259,0.16,Medium
L260,0.16,High
L261,0.18,High
L262,0.16,High
L263,0.07,High
L264,0.18,High
L265,0.03,High
L266,0.18,High
L267,0.16,High
L268,0.01,Medium
L269,0.1,High
L270,0.08,High
L271,0.1,Medium
L272,0.1,High
L273,0.11,High
L274,0.08,High
L275,54.39,High
L276,0.18,Medium
L277,0.16,Medium
L278,0.07,High
L279,0.13,High
L280,0.2,Low
L281,0.06,High
L282,0.11,Medium
L283,0.13,High
L284,0.04,High
L285,0.13,High
L286,0.03,High
L287,0.18,Medium
L288,0.11,High
L289,0.03,High
L290,0.18,High
L291,0.04,High
L292,0.03,High
L293,0.1,High
L294,0.1,High
L295,0.04,High
L296,0.1,High
L297,0.11,Low
L298,0.04,High
L299,0.04,High
L300,0.01,High
L301,0.03,High
L302,0.08,High
L303,0.11,High
L304,0.04,High
L305,0.08,Medium
L306,0.1,High
L307,0.03,Medium
L308,0.01,High
L309,0.07,High
L310,0.18,High
L311,0.1,High
L312,0.11,High
L313,0.03,High
L314,0.04,High
L315,0.13,High
L316,0.18,High
L317,0.18,High
L318,0.03,High
L319,0.03,High
L320,0.08,High
L321,0.01,High
L322,0.03,High
L323,0.07,High
L324,0.16,Medium
L325,0.16,High
L326,0.06,Medium
L327,0.13,High
L328,0.06,High
L329,0.08,Medium
L330,0.03,High
L331,0.07,High
L332,0.01,High
L333,0.01,High
L334,0.08,High
L335,0.18,High
L336,0.06,High
L337,0.06,High
L338,0.16,High
L339,0.13,Low
L340,0.03,High
L341,0.04,High
L342,0.07,High
L343,0.1,High
L344,0.11,Medium
L345,0.06,High
L346,0.01,High
L347,0.07,High
L348,0.07,High
L349,0.1,Medium
L350,0.01,High
L351,0.04,Medium
L352,0.08,High
L353,0.16,Low
L354,0.03,High
L355,0.16,Low
L356,0.16,High
L357,0.08,High
L358,0.13,Medium
L359,0.11,Medium
L360,0.16,High
L361,0.08,High
L362,0.07,High
L363,0.04,High
L364,0.13,Medium
L365,0.08,High
L366,0.13,High
L367,0.1,High
L368,0.06,High
L369,0.08,High
L370,0.06,High
L371,0.16,High
L372,0.08,Medium
L373,0.08,High
L374,0.06,High
L375,0.04,Medium
L376,0.16,Low
L377,0.16,Medium
L378,0.16,High
L379,0.16,High
L380,0.13,High
L381,0.18,High
L382,0.18,High
L383,0.13,High
L384,0.16,High
L385,0.04,High
L386,0.18,High
L387,0.04,Medium
L388,0.01,Medium
L389,0.01,High
L390,0.06,Medium
L391,0.18,High
L392,0.06,High
L393,0.03,High
L394,0.06,High
L395,0.13,High
L396,0.07,High
L397,0.18,High
L398,0.1,Medium
L399,0.16,High
L400,0.1,High
L401,0.16,High
L402,0.06,High
L403,0.03,High
L404,0.1,High
L405,0.18,High
L406,0.01,High
L407,0.01,Medium
L408,0.08,High
L409,0.11,High
L410,0.1,High
L411,0.11,High
L412,0.16,High
L413,0.13,High
L414,0.11,Medium
L415,0.01,High
L416,0.01,High
L417,0.11,Medium
L418,0.16,High
L419,0.04,High
L420,0.13,Medium
L421,0.07,High
L422,0.06,High
L423,0.03,High
L424,0.1,High
L425,0.08,High
L426,0.18,High
L427,0.04,High
L428,0.16,High
L429,0.11,High
L430,0.13,High
L431,0.03,High
L432,0.04,High
L433,0.18,High
L434,0.1,High
L435,0.04,High
L436,0.18,High
L437,0.1,High
L438,0.03,High
L439,0.11,High
L440,0.1,Medium
L441,0.03,High
L442,0.07,High
L443,0.07,Medium
L444,0.08,High
L445,0.07,High
L446,0.1,High
L447,0.06,High
L448,0.03,High
L449,0.2,Medium
L450,0.01,High
L451,0.1,High
L452,0.03,Medium
L453,0.07,High
L454,0.16,High
L455,0.16,High
L456,0.01,High
L457,0.16,High
L458,0.07,High
L459,0.11,Low
L460,0.16,High
L461,0.13,High
L462,0.03,High
L463,0.08,High
L464,0.06,High
L465,0.07,High
L466,0.1,High
L467,0.13,High
L468,0.16,Low
L469,0.16,High
L470,0.08,High
L471,0.08,High
L472,0.13,High
L473,0.13,High
L474,0.13,High
L475,0.18,High
L476,0.07,High
L477,0.1,High
L478,0.03,High
L479,0.04,High
L480,0.04,High
L481,0.13,High
L482,0.11,High
L483,0.13,High
L484,0.04,High
L485,0.07,High
L486,0.03,High
L487,0.03,Medium
L488,0.1,Medium
L489,0.11,High
L490,0.1,High
L491,0.1,Medium
L492,0.04,High
L493,0.11,High
L494,0.16,High
L495,0.1,Medium
L496,0.11,Low
