Location_ID,Distance,Priority,Assigned_Agent
L22,0.01,High,Agent_A
L38,0.01,High,Agent_B
L49,0.01,High,Agent_C
L58,0.01,High,Agent_A
L88,0.01,High,Agent_B
L90,0.01,High,Agent_C
L102,0.01,High,Agent_A
L115,0.01,High,Agent_B
L127,0.01,High,Agent_C
L149,0.01,High,Agent_A
L165,0.01,High,Agent_B
L167,0.01,High,Agent_C
L188,0.01,High,Agent_A
L205,0.01,High,Agent_B
L215,0.01,High,Agent_C
L230,0.01,High,Agent_A
L241,0.01,High,Agent_B
L300,0.01,High,Agent_C
L308,0.01,High,Agent_A
L321,0.01,High,Agent_B
L332,0.01,High,Agent_C
L333,0.01,High,Agent_A
L346,0.01,High,Agent_B
L350,0.01,High,Agent_C
L389,0.01,High,Agent_A
L406,0.01,High,Agent_B
L415,0.01,High,Agent_C
L416,0.01,High,Agent_A
L450,0.01,High,Agent_B
L456,0.01,High,Agent_C
L498,0.01,High,Agent_A
L555,0.01,High,Agent_B
L562,0.01,High,Agent_C
L566,0.01,High,Agent_A
L574,0.01,High,Agent_B
L590,0.01,High,Agent_C
L615,0.01,High,Agent_A
L616,0.01,High,Agent_B
L631,0.01,High,Agent_C
L634,0.01,High,Agent_A
L639,0.01,High,Agent_B
L645,0.01,High,Agent_C
L665,0.01,High,Agent_A
L666,0.01,High,Agent_B
L670,0.01,High,Agent_C
L672,0.01,High,Agent_A
L677,0.01,High,Agent_B
L723,0.01,High,Agent_C
L746,0.01,High,Agent_A
L764,0.01,High,Agent_B
L769,0.01,High,Agent_C
L771,0.01,High,Agent_A
L774,0.01,High,Agent_B
L781,0.01,High,Agent_C
L788,0.01,High,Agent_A
L793,0.01,High,Agent_B
L816,0.01,High,Agent_C
L827,0.01,High,Agent_A
L832,0.01,High,Agent_B
L844,0.01,High,Agent_C
L861,0.01,High,Agent_A
L880,0.01,High,Agent_B
L900,0.01,High,Agent_C
L955,0.01,High,Agent_A
L976,0.01,High,Agent_B
L1000,0.01,High,Agent_C
L1001,0.01,High,Agent_A
L1018,0.01,High,Agent_B
L1019,0.01,High,Agent_C
L1023,0.01,High,Agent_A
L1096,0.01,High,Agent_B
L1099,0.01,High,Agent_C
L1104,0.01,High,Agent_A
L1144,0.01,High,Agent_B
L1154,0.01,High,Agent_C
L1155,0.01,High,Agent_A
L1197,0.01,High,Agent_B
L1206,0.01,High,Agent_C
L1221,0.01,High,Agent_A
L1241,0.01,High,Agent_B
L1263,0.01,High,Agent_C
L1276,0.01,High,Agent_A
L1280,0.01,High,Agent_B
L1320,0.01,High,Agent_C
L1331,0.01,High,Agent_A
L1340,0.01,High,Agent_B
L1348,0.01,High,Agent_C
L1353,0.01,High,Agent_A
L1355,0.01,High,Agent_B
L1413,0.01,High,Agent_C
L1451,0.01,High,Agent_A
L1472,0.01,High,Agent_B
L1483,0.01,High,Agent_C
L1498,0.01,High,Agent_A
L1519,0.01,High,Agent_B
L1520,0.01,High,Agent_C
L1545,0.01,High,Agent_A
L1554,0.01,High,Agent_B
L1559,0.01,High,Agent_C
L1560,0.01,High,Agent_A
L1589,0.01,High,Agent_B
L1595,0.01,High,Agent_C
L1598,0.01,High,Agent_A
L1601,0.01,High,Agent_B
L1630,0.01,High,Agent_C
L1645,0.01,High,Agent_A
L1654,0.01,High,Agent_B
L1660,0.01,High,Agent_C
L1667,0.01,High,Agent_A
L1678,0.01,High,Agent_B
L1696,0.01,High,Agent_C
L1708,0.01,High,Agent_A
L1717,0.01,High,Agent_B
L1724,0.01,High,Agent_C
L1725,0.01,High,Agent_A
L1765,0.01,High,Agent_B
L1766,0.01,High,Agent_C
L1798,0.01,High,Agent_A
L1816,0.01,High,Agent_B
L1818,0.01,High,Agent_C
L1832,0.01,High,Agent_A
L1835,0.01,High,Agent_B
L1840,0.01,High,Agent_C
L1847,0.01,High,Agent_A
L1848,0.01,High,Agent_B
L1864,0.01,High,Agent_C
L1875,0.01,High,Agent_A
L1909,0.01,High,Agent_B
L1914,0.01,High,Agent_C
L1924,0.01,High,Agent_A
L1926,0.01,High,Agent_B
L1932,0.01,High,Agent_C
L1937,0.01,High,Agent_A
L1942,0.01,High,Agent_B
L1990,0.01,High,Agent_C
L2025,0.01,High,Agent_A
L2033,0.01,High,Agent_B
L2052,0.01,High,Agent_C
L2077,0.01,High,Agent_A
L2079,0.01,High,Agent_B
L2123,0.01,High,Agent_C
L2135,0.01,High,Agent_A
L2150,0.01,High,Agent_B
L2153,0.01,High,Agent_C
L2159,0.01,High,Agent_A
L2165,0.01,High,Agent_B
L2173,0.01,High,Agent_C
L2192,0.01,High,Agent_A
L2203,0.01,High,Agent_B
L2209,0.01,High,Agent_C
L2222,0.01,High,Agent_A
L2234,0.01,High,Agent_B
L2236,0.01,High,Agent_C
L2258,0.01,High,Agent_A
L2261,0.01,High,Agent_B
L2279,0.01,High,Agent_C
L2285,0.01,High,Agent_A
L2298,0.01,High,Agent_B
L2316,0.01,High,Agent_C
L2317,0.01,High,Agent_A
L2350,0.01,High,Agent_B
L2365,0.01,High,Agent_C
L2373,0.01,High,Agent_A
L2390,0.01,High,Agent_B
L2391,0.01,High,Agent_C
L2392,0.01,High,Agent_A
L2400,0.01,High,Agent_B
L2419,0.01,High,Agent_C
L2439,0.01,High,Agent_A
L2451,0.01,High,Agent_B
L2488,0.01,High,Agent_C
L2491,0.01,High,Agent_A
L2495,0.01,High,Agent_B
L2515,0.01,High,Agent_C
L2537,0.01,High,Agent_A
L2542,0.01,High,Agent_B
L2577,0.01,High,Agent_C
L2588,0.01,High,Agent_A
L2589,0.01,High,Agent_B
L2605,0.01,High,Agent_C
L2609,0.01,High,Agent_A
L2614,0.01,High,Agent_B
L2615,0.01,High,Agent_C
L2617,0.01,High,Agent_A
L2627,0.01,High,Agent_B
L2650,0.01,High,Agent_C
L2682,0.01,High,Agent_A
L2699,0.01,High,Agent_B
L2710,0.01,High,Agent_C
L2719,0.01,High,Agent_A
L2724,0.01,High,Agent_B
L2728,0.01,High,Agent_C
L2735,0.01,High,Agent_A
L2768,0.01,High,Agent_B
L2805,0.01,High,Agent_C
L2818,0.01,High,Agent_A
L2833,0.01,High,Agent_B
L2855,0.01,High,Agent_C
L2870,0.01,High,Agent_A
L2874,0.01,High,Agent_B
L2892,0.01,High,Agent_C
L2909,0.01,High,Agent_A
L2921,0.01,High,Agent_B
L2934,0.01,High,Agent_C
L2945,0.01,High,Agent_A
L2947,0.01,High,Agent_B
L2963,0.01,High,Agent_C
L2968,0.01,High,Agent_A
L2969,0.01,High,Agent_B
L3011,0.01,High,Agent_C
L3013,0.01,High,Agent_A
L3064,0.01,High,Agent_B
L3086,0.01,High,Agent_C
L3108,0.01,High,Agent_A
L3118,0.01,High,Agent_B
L3126,0.01,High,Agent_C
L3136,0.01,High,Agent_A
L3145,0.01,High,Agent_B
L3181,0.01,High,Agent_C
L3191,0.01,High,Agent_A
L3209,0.01,High,Agent_B
L3237,0.01,High,Agent_C
L3252,0.01,High,Agent_A
L3255,0.01,High,Agent_B
L3297,0.01,High,Agent_C
L3315,0.01,High,Agent_A
L3318,0.01,High,Agent_B
L3333,0.01,High,Agent_C
L3338,0.01,High,Agent_A
L3361,0.01,High,Agent_B
L3381,0.01,High,Agent_C
L3382,0.01,High,Agent_A
L3387,0.01,High,Agent_B
L3395,0.01,High,Agent_C
L3404,0.01,High,Agent_A
L3424,0.01,High,Agent_B
L3431,0.01,High,Agent_C
L3443,0.01,High,Agent_A
L3449,0.01,High,Agent_B
L3455,0.01,High,Agent_C
L3456,0.01,High,Agent_A
L3460,0.01,High,Agent_B
L3479,0.01,High,Agent_C
L3480,0.01,High,Agent_A
L3495,0.01,High,Agent_B
L3504,0.01,High,Agent_C
L3505,0.01,High,Agent_A
L3514,0.01,High,Agent_B
L3518,0.01,High,Agent_C
L3525,0.01,High,Agent_A
L3540,0.01,High,Agent_B
L3550,0.01,High,Agent_C
L3557,0.01,High,Agent_A
L3564,0.01,High,Agent_B
L3567,0.01,High,Agent_C
L3571,0.01,High,Agent_A
L3597,0.01,High,Agent_B
L3602,0.01,High,Agent_C
L3607,0.01,High,Agent_A
L3627,0.01,High,Agent_B
L3632,0.01,High,Agent_C
L3634,0.01,High,Agent_A
L3635,0.01,High,Agent_B
L3646,0.01,High,Agent_C
L3677,0.01,High,Agent_A
L3681,0.01,High,Agent_B
L3699,0.01,High,Agent_C
L3701,0.01,High,Agent_A
L3704,0.01,High,Agent_B
L3723,0.01,High,Agent_C
L3743,0.01,High,Agent_A
L3751,0.01,High,Agent_B
L3753,0.01,High,Agent_C
L3755,0.01,High,Agent_A
L3772,0.01,High,Agent_B
L3773,0.01,High,Agent_C
L3777,0.01,High,Agent_A
L3785,0.01,High,Agent_B
L3804,0.01,High,Agent_C
L3818,0.01,High,Agent_A
L3821,0.01,High,Agent_B
L3826,0.01,High,Agent_C
L3830,0.01,High,Agent_A
L3841,0.01,High,Agent_B
L3866,0.01,High,Agent_C
L3874,0.01,High,Agent_A
L3876,0.01,High,Agent_B
L3878,0.01,High,Agent_C
L3893,0.01,High,Agent_A
L3902,0.01,High,Agent_B
L3916,0.01,High,Agent_C
L3925,0.01,High,Agent_A
L3947,0.01,High,Agent_B
L3960,0.01,High,Agent_C
L3964,0.01,High,Agent_A
L3970,0.01,High,Agent_B
L3998,0.01,High,Agent_C
L4035,0.01,High,Agent_A
L4061,0.01,High,Agent_B
L4076,0.01,High,Agent_C
L4079,0.01,High,Agent_A
L4081,0.01,High,Agent_B
L4090,0.01,High,Agent_C
L4104,0.01,High,Agent_A
L4107,0.01,High,Agent_B
L4110,0.01,High,Agent_C
L4113,0.01,High,Agent_A
L4123,0.01,High,Agent_B
L4134,0.01,High,Agent_C
L4136,0.01,High,Agent_A
L4149,0.01,High,Agent_B
L4176,0.01,High,Agent_C
L4187,0.01,High,Agent_A
L4189,0.01,High,Agent_B
L4198,0.01,High,Agent_C
L4214,0.01,High,Agent_A
L4228,0.01,High,Agent_B
L4231,0.01,High,Agent_C
L4281,0.01,High,Agent_A
L4283,0.01,High,Agent_B
L4289,0.01,High,Agent_C
L4337,0.01,High,Agent_A
L4351,0.01,High,Agent_B
L4359,0.01,High,Agent_C
L4369,0.01,High,Agent_A
L4399,0.01,High,Agent_B
L4401,0.01,High,Agent_C
L4418,0.01,High,Agent_A
L4427,0.01,High,Agent_B
L4442,0.01,High,Agent_C
L4448,0.01,High,Agent_A
L4460,0.01,High,Agent_B
L4484,0.01,High,Agent_C
L4505,0.01,High,Agent_A
L4533,0.01,High,Agent_B
L4538,0.01,High,Agent_C
L4550,0.01,High,Agent_A
L4564,0.01,High,Agent_B
L4569,0.01,High,Agent_C
L4591,0.01,High,Agent_A
L4615,0.01,High,Agent_B
L4618,0.01,High,Agent_C
L4632,0.01,High,Agent_A
L4668,0.01,High,Agent_B
L4674,0.01,High,Agent_C
L4676,0.01,High,Agent_A
L4677,0.01,High,Agent_B
L4701,0.01,High,Agent_C
L4702,0.01,High,Agent_A
L4704,0.01,High,Agent_B
L4711,0.01,High,Agent_C
L4722,0.01,High,Agent_A
L4726,0.01,High,Agent_B
L4754,0.01,High,Agent_C
L4757,0.01,High,Agent_A
L4789,0.01,High,Agent_B
L4793,0.01,High,Agent_C
L4795,0.01,High,Agent_A
L4799,0.01,High,Agent_B
L4825,0.01,High,Agent_C
L4830,0.01,High,Agent_A
L4833,0.01,High,Agent_B
